ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788534681.163000,2026-09-04T15:11:06Z,4,1476360,9560,5214047,83192,3760736,0,0,600000,100000,136638464,2684354560,35704832,4096,118523922,94373416,42008576,434176
1788534686.537861,2026-09-04T15:11:21Z,4,1706083,9748,199927107,132260,3790783,0,0,600000,100000,136597504,2684354560,35704832,4096,118523922,94373416,42008576,434176
1788534691.718082,2026-09-04T15:11:21Z,4,1706083,9748,199927107,132260,3807296,0,0,600000,100000,137256960,2684354560,35704832,4096,118523922,94373416,42008576,434176
1788534696.924424,2026-09-04T15:11:36Z,4,1268929,9896,4209299,132256,3829352,0,0,600000,100000,136679424,2684354560,35344384,4096,118523922,94373416,42008576,434176
1788534702.103456,2026-09-04T15:11:36Z,4,1268929,9896,4209299,132256,5032869,0,0,600000,100000,160120832,2684354560,38486016,4096,118523922,94373374,44814336,712704
1788534707.310292,2026-09-04T15:11:36Z,4,1268929,9896,4209299,132256,6608054,0,0,600000,100000,314433536,2684354560,59490304,4096,118523922,94373373,60362752,7757824
1788534712.440153,2026-09-04T15:11:51Z,4,62174677,39788,263265110,487224,8152359,0,0,600000,100000,545849344,2684354560,85127168,4096,118523922,94373349,91660288,23642112
1788534717.632188,2026-09-04T15:11:51Z,4,62174677,39788,263265110,487224,9617208,0,0,600000,100000,717193216,2684354560,124698624,4096,118523922,94373341,152887296,41336832
1788534722.762161,2026-09-04T15:11:51Z,4,62174677,39788,263265110,487224,11325540,0,0,600000,100000,741564416,2684354560,59359232,4096,118523922,94373341,204226560,58851328
1788534728.020910,2026-09-04T15:12:06Z,4,126615981,48568,303203081,829948,13366660,0,0,600000,100000,1010987008,2684354560,218615808,4096,118523922,94373321,383479808,75177984
1788534733.219438,2026-09-04T15:12:06Z,4,126615981,48568,303203081,829948,16426197,0,0,600000,100000,1096937472,2684354560,229236736,4096,118523922,94373319,637448192,90464256
1788534738.384563,2026-09-04T15:12:06Z,4,126615981,48568,303203081,829948,17999054,0,0,600000,100000,1074155520,2684354560,153956352,4096,118523922,94373317,663068672,105914368
1788534743.539839,2026-09-04T15:12:21Z,4,135706367,52668,434254384,1057720,19794626,0,0,600000,100000,1064607744,2684354560,104222720,4096,118523922,94373317,688070656,120487936
1788534748.762194,2026-09-04T15:12:21Z,4,135706367,52668,434254384,1057720,21258199,0,0,600000,100000,1071153152,2684354560,77910016,4096,118523922,94373317,714252288,135118848
1788534753.947293,2026-09-04T15:12:21Z,4,135706367,52668,434254384,1057720,22982812,0,0,600000,100000,1046982656,2684354560,22024192,4096,118523922,94373317,739422208,149577728
1788534759.123321,2026-09-04T15:12:36Z,4,142981738,53224,325751016,1024732,25632311,0,0,600000,100000,1131028480,2684354560,68153344,4096,118523922,94373317,817307648,163233792
