ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788548438.965488,2026-09-04T19:00:36Z,1,181376,18508,413197775,1047912,2753965840,3326488569,7724,200000,100000,1051619328,1073741824,435036160,4096,118523922,94303023,105810898944,175305449472
1788548444.110509,2026-09-04T19:00:36Z,1,181376,18508,413197775,1047912,2753994583,3326488569,7724,200000,100000,1055809536,1073741824,438661120,4096,118523922,94303023,105810898944,175309643776
1788548449.291596,2026-09-04T19:00:36Z,1,181376,18508,413197775,1047912,2754022601,3326488569,7724,200000,100000,1056530432,1073741824,439521280,4096,118523922,94303023,105810898944,175310692352
1788548454.445899,2026-09-04T19:00:51Z,1,273751,18508,144255350,1033136,2754367483,3326488569,7724,200000,100000,1059827712,1073741824,443052032,4096,118523922,94303023,105812144128,175312789504
1788548459.600508,2026-09-04T19:00:51Z,1,273751,18508,144255350,1033136,2754637857,3326488569,7724,200000,100000,1073147904,1073741824,382021632,4096,118523922,94303023,105837355008,175315419136
1788548464.737177,2026-09-04T19:00:51Z,1,273751,18508,144255350,1033136,2756829501,3326488569,7724,200000,100000,1072963584,1073741824,357064704,4096,118523922,94303023,105956532224,175450460160
1788548469.887551,2026-09-04T19:01:06Z,1,117735027,17672,259983991,1047468,2761467314,3326488569,7724,200000,100000,1073102848,1073741824,363925504,4096,118523922,94303023,106142494720,175459897344
1788548475.030210,2026-09-04T19:01:06Z,1,117735027,17672,259983991,1047468,2767479390,3326488569,7724,200000,100000,1073020928,1073741824,372166656,4096,118523922,94303023,106328756224,175462535168
1788548480.175147,2026-09-04T19:01:06Z,1,117735027,17672,259983991,1047468,2773893857,3326488569,7724,200000,100000,1073192960,1073741824,387256320,4096,118523922,94303023,106494914560,175463583744
1788548485.332325,2026-09-04T19:01:21Z,1,481700353,17260,1174755827,1047296,2780603576,3326538104,7728,200000,100000,1073029120,1073741824,396779520,4096,118523922,94303023,106651652096,175465156608
1788548490.496492,2026-09-04T19:01:21Z,1,481700353,17260,1174755827,1047296,2787173114,3326538104,7728,200000,100000,1072627712,1073741824,414539776,4096,118523922,94303022,106773561344,175465680896
1788548495.653178,2026-09-04T19:01:21Z,1,481700353,17260,1174755827,1047296,2794027228,3326538104,7728,200000,100000,1072893952,1073741824,414007296,4096,118523922,94303022,106886082560,175491555328
1788548500.790389,2026-09-04T19:01:36Z,1,500435545,15380,1294829543,1047108,2801067505,3326538104,7728,200000,100000,1072508928,1073741824,414101504,4096,118523922,94303022,106996887552,175492079616
1788548505.944961,2026-09-04T19:01:36Z,1,500435545,15380,1294829543,1047108,2807928666,3326538104,7728,200000,100000,1073033216,1073741824,414277632,4096,118523922,94303022,107101945856,175492079616
1788548511.099477,2026-09-04T19:01:36Z,1,500435545,15380,1294829543,1047108,2815199869,3326776494,7732,200000,100000,1073152000,1073741824,414978048,4096,118523922,94303022,107224633344,175492726784
1788548516.251225,2026-09-04T19:01:51Z,1,500264052,16672,1368874316,1046928,2822124243,3326776494,7732,200000,100000,1073160192,1073741824,415039488,4096,118523922,94303022,107330551808,175492726784
1788548521.430612,2026-09-04T19:01:51Z,1,500264052,16672,1368874316,1046928,2828900805,3326776494,7732,200000,100000,1072738304,1073741824,415055872,4096,118523922,94303022,107435094016,175493251072
1788548526.578284,2026-09-04T19:01:51Z,1,500264052,16672,1368874316,1046928,2835800836,3326776494,7732,200000,100000,1072947200,1073741824,415035392,4096,118523922,94303022,107539660800,175493365760
1788548531.757702,2026-09-04T19:02:06Z,1,500001066,17264,1329496068,1046772,2842578492,3326776494,7732,200000,100000,1073049600,1073741824,415059968,4096,118523922,94303022,107641671680,175493365760
1788548536.913678,2026-09-04T19:02:06Z,1,500001066,17264,1329496068,1046772,2849280129,3326776494,7732,200000,100000,1072431104,1073741824,415203328,4096,118523922,94303022,107742511104,175493365760
1788548542.059259,2026-09-04T19:02:21Z,1,499588953,18412,1330908290,1047620,2856351440,3326968018,7736,200000,100000,1072787456,1073741824,415113216,4096,118523922,94303022,107855339520,175493722112
1788548547.205533,2026-09-04T19:02:21Z,1,499588953,18412,1330908290,1047620,2863133137,3326968018,7736,200000,100000,1072865280,1073741824,415698944,4096,118523922,94303022,107956490240,175493804032
1788548552.365192,2026-09-04T19:02:21Z,1,499588953,18412,1330908290,1047620,2869975646,3326968018,7736,200000,100000,1073016832,1073741824,414965760,4096,118523922,94303022,108054855680,175493804032
1788548557.519155,2026-09-04T19:02:36Z,1,499754169,18820,1313572467,1046460,2876755946,3326968018,7736,200000,100000,1072766976,1073741824,414593024,4096,118523922,94303022,108147712000,175494053888
1788548562.672493,2026-09-04T19:02:36Z,1,499754169,18820,1313572467,1046460,2883622740,3326968018,7736,200000,100000,1073119232,1073741824,409214976,4096,118523922,94303022,108227973120,175494053888
