ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788548609.850362,2026-09-04T19:03:21Z,0,,,52779502,1025172,2907120196,3327783957,7744,200000,100000,875421696,1073741824,373080064,4096,118523922,94303018,108481335296,175494819840
1788548615.011001,2026-09-04T19:03:21Z,0,,,52779502,1025172,2907133087,3327783957,7744,200000,100000,875446272,1073741824,373080064,4096,118523922,94303018,108481335296,175494819840
1788548620.191364,2026-09-04T19:03:36Z,1,1022430,2348,69159166,853120,2907154047,3327783957,7744,200000,100000,875036672,1073741824,373084160,4096,118523922,94303018,108481339392,175494819840
1788548625.376660,2026-09-04T19:03:36Z,1,1022430,2348,69159166,853120,2907173685,3327783957,7744,200000,100000,875261952,1073741824,373084160,4096,118523922,94303018,108481339392,175494828032
1788548630.555044,2026-09-04T19:03:36Z,1,1022430,2348,69159166,853120,2907372297,3327783957,7744,200000,100000,880381952,1073741824,377315328,4096,118523922,94303018,108485570560,175494828032
1788548635.701570,2026-09-04T19:03:51Z,1,23549609,7188,27721947,862576,2909189314,3327783957,7744,200000,100000,917835776,1073741824,404221952,4096,118523922,94303018,108512452608,175494828032
1788548640.869413,2026-09-04T19:03:51Z,1,23549609,7188,27721947,862576,2911656674,3327783957,7744,200000,100000,938500096,1073741824,421482496,4096,118523922,94303018,108529680384,175494942720
1788548646.022565,2026-09-04T19:03:51Z,1,23549609,7188,27721947,862576,2914579900,3327783957,7744,200000,100000,945221632,1073741824,425046016,4096,118523922,94303018,108533227520,175494942720
1788548651.180545,2026-09-04T19:04:06Z,1,408587725,7244,488540014,921684,2917583531,3327783957,7744,200000,100000,952623104,1073741824,426483712,4096,118523922,94303017,108534665216,175494942720
1788548656.342281,2026-09-04T19:04:06Z,1,408587725,7244,488540014,921684,2920627335,3327783957,7744,200000,100000,954888192,1073741824,427098112,4096,118523922,94303017,108535279616,175494942720
1788548661.495872,2026-09-04T19:04:06Z,1,408587725,7244,488540014,921684,2923721763,3327783957,7744,200000,100000,956530688,1073741824,427245568,4096,118523922,94303017,108535427072,175495000064
1788548666.665962,2026-09-04T19:04:21Z,1,500590697,8404,591370592,933620,2927255723,3327783957,7744,200000,100000,962674688,1073741824,427487232,4096,118523922,94303017,108535652352,175495000064
1788548671.823825,2026-09-04T19:04:21Z,1,500590697,8404,591370592,933620,2930479278,3327783957,7744,200000,100000,962740224,1073741824,427597824,4096,118523922,94303017,108535746560,175495000064
1788548676.988959,2026-09-04T19:04:36Z,1,500505262,9648,650787878,938564,2933822789,3327783957,7744,200000,100000,963026944,1073741824,427720704,4096,118523922,94303017,108535861248,175495114752
1788548682.183100,2026-09-04T19:04:36Z,1,500505262,9648,650787878,938564,2937079659,3327783957,7744,200000,100000,962936832,1073741824,427831296,4096,118523922,94303017,108535955456,175495114752
1788548687.344150,2026-09-04T19:04:36Z,1,500505262,9648,650787878,938564,2940312501,3327783957,7744,200000,100000,962805760,1073741824,427905024,4096,118523922,94303017,108536020992,175495114752
1788548692.486751,2026-09-04T19:04:51Z,1,500033082,10408,627811695,939084,2943513708,3327783957,7744,200000,100000,962854912,1073741824,427986944,4096,118523922,94303017,108536102912,175495213056
1788548697.657251,2026-09-04T19:04:51Z,1,500033082,10408,627811695,939084,2947069773,3327783957,7744,200000,100000,968495104,1073741824,428060672,4096,118523922,94303017,108536164352,175495213056
1788548702.831197,2026-09-04T19:04:51Z,1,500033082,10408,627811695,939084,2950252166,3327783957,7744,200000,100000,968110080,1073741824,428134400,4096,118523922,94303017,108536238080,175495213056
1788548707.979108,2026-09-04T19:05:06Z,1,500022601,13388,643065475,944552,2953461113,3327783957,7744,200000,100000,967778304,1073741824,428220416,4096,118523922,94303016,108536324096,175495303168
1788548713.140975,2026-09-04T19:05:06Z,1,500022601,13388,643065475,944552,2956613735,3327783957,7744,200000,100000,968216576,1073741824,428261376,4096,118523922,94303016,108536365056,175495303168
1788548718.288466,2026-09-04T19:05:06Z,1,500022601,13388,643065475,944552,2959792074,3327783957,7744,200000,100000,968687616,1073741824,428318720,4096,118523922,94303016,108536422400,175495319552
1788548723.445150,2026-09-04T19:05:21Z,1,499628114,12504,610546454,944632,2962959544,3327783957,7744,200000,100000,968974336,1073741824,428343296,4096,118523922,94303016,108536438784,175495319552
1788548728.616135,2026-09-04T19:05:21Z,1,499628114,12504,610546454,944632,2966552883,3327783957,7744,200000,100000,973180928,1073741824,428363776,4096,118523922,94303016,108536446976,175495319552
1788548733.760195,2026-09-04T19:05:21Z,1,499628114,12504,610546454,944632,2969809083,3327783957,7744,200000,100000,974536704,1073741824,428421120,4096,118523922,94303016,108536496128,175495401472
1788548738.933188,2026-09-04T19:05:36Z,1,499748800,12672,650372376,949256,2972966265,3327783957,7744,200000,100000,973914112,1073741824,428470272,4096,118523922,94303016,108536508416,175495413760
1788548744.076171,2026-09-04T19:05:36Z,1,499748800,12672,650372376,949256,2976111938,3327783957,7744,200000,100000,973971456,1073741824,428568576,4096,118523922,94303016,108536541184,175495938048
1788548749.234619,2026-09-04T19:05:36Z,1,499748800,12672,650372376,949256,2979212269,3327783957,7744,200000,100000,973934592,1073741824,428744704,4096,118523922,94303016,108536541184,175496200192
1788548754.378751,2026-09-04T19:05:51Z,1,438017901,12168,535668091,949516,2979551697,3327783957,7744,200000,100000,974139392,1073741824,428830720,4096,118523922,94303016,108536549376,175496724480
1788548759.554906,2026-09-04T19:05:51Z,1,438017901,12168,535668091,949516,2979887276,3327783957,7744,200000,100000,973987840,1073741824,428912640,4096,118523922,94303016,108536549376,175496986624
1788548764.723862,2026-09-04T19:05:51Z,1,438017901,12168,535668091,949516,2979909647,3327783957,7744,200000,100000,973914112,1073741824,429019136,4096,118523922,94303016,108536549376,175497568256
1788548769.906820,2026-09-04T19:06:06Z,1,281585,12152,25576633,949844,2979936890,3327783957,7744,200000,100000,974467072,1073741824,429129728,4096,118523922,94303015,108536549376,175497830400
