ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788538629.563362,2026-09-04T16:17:06Z,0,,,124055559,1047848,6775301,285640,9,200000,100000,976830464,1073741824,301670400,4096,118523922,94303580,1518075904,871079936
1788538634.716942,2026-09-04T16:17:06Z,0,,,124055559,1047848,6830344,285640,9,200000,100000,987357184,1073741824,311816192,4096,118523922,94303540,1519013888,880025600
1788538639.885538,2026-09-04T16:17:06Z,0,,,124055559,1047848,6862327,285640,9,200000,100000,993648640,1073741824,316485632,4096,118523922,94382872,1519013888,887889920
1788538645.059285,2026-09-04T16:17:21Z,1,448767,2100,213549863,967596,6885728,285640,9,200000,100000,992120832,1073741824,326598656,4096,118523922,94382872,1519013888,997646336
1788538650.223857,2026-09-04T16:17:21Z,1,448767,2100,213549863,967596,7163418,285640,9,200000,100000,1030389760,1073741824,356249600,4096,118523922,94382872,1548476416,999424000
1788538655.366043,2026-09-04T16:17:21Z,1,448767,2100,213549863,967596,9866954,285640,9,200000,100000,1048010752,1073741824,308465664,4096,118523922,94382872,1805324288,999948288
1788538660.503638,2026-09-04T16:17:36Z,1,96108976,7044,254351764,1005208,14518055,285640,9,200000,100000,1032671232,1073741824,279400448,4096,118523922,94382872,2056855552,1000316928
1788538665.652116,2026-09-04T16:17:36Z,1,96108976,7044,254351764,1005208,20753444,285640,9,200000,100000,994959360,1073741824,217632768,4096,118523922,94382872,2351738880,1000316928
1788538670.851443,2026-09-04T16:17:36Z,1,96108976,7044,254351764,1005208,27138781,285640,9,200000,100000,1002512384,1073741824,512798720,4096,118523922,94382872,2570174464,1000316928
1788538676.001721,2026-09-04T16:17:51Z,1,473747248,10312,1149643833,992996,33759811,285640,9,200000,100000,1072939008,1073741824,573530112,4096,118523922,94382872,2653184000,1000333312
1788538681.169223,2026-09-04T16:17:51Z,1,473747248,10312,1149643833,992996,40895545,377537,13,200000,100000,1072099328,1073741824,482377728,4096,118523922,94382872,2764476416,1000411136
1788538686.311816,2026-09-04T16:17:51Z,1,473747248,10312,1149643833,992996,47773929,377537,13,200000,100000,1072111616,1073741824,466989056,4096,118523922,94382872,2794086400,1000411136
1788538691.477982,2026-09-04T16:18:06Z,1,500232045,15280,1336574521,1047072,54905214,681778,14,200000,100000,1073098752,1073741824,453738496,4096,118523922,94382871,2821070848,1000427520
1788538696.650775,2026-09-04T16:18:06Z,1,500232045,15280,1336574521,1047072,62045436,681778,14,200000,100000,1072652288,1073741824,435265536,4096,118523922,94382871,2847277056,1000427520
1788538701.800960,2026-09-04T16:18:21Z,1,500329290,16972,1384739405,1046396,69149607,681778,14,200000,100000,1072295936,1073741824,428466176,4096,118523922,94382871,2870321152,1000427520
1788538706.941625,2026-09-04T16:18:21Z,1,500329290,16972,1384739405,1046396,76281819,681778,14,200000,100000,1072316416,1073741824,422268928,4096,118523922,94382871,2890592256,1000427520
1788538712.112891,2026-09-04T16:18:21Z,1,500329290,16972,1384739405,1046396,83687245,895437,20,200000,100000,1072836608,1073741824,402268160,4096,118523922,94382871,2917023744,1000443904
1788538717.256657,2026-09-04T16:18:36Z,1,499851760,18240,1381398879,1047456,90491751,895437,20,200000,100000,1072824320,1073741824,397901824,4096,118523922,94382871,2943586304,1000443904
1788538722.427394,2026-09-04T16:18:36Z,1,499851760,18240,1381398879,1047456,97227518,895437,20,200000,100000,1072164864,1073741824,395542528,4096,118523922,94382871,2967257088,1000443904
1788538727.585543,2026-09-04T16:18:36Z,1,499851760,18240,1381398879,1047456,103962402,895437,20,200000,100000,1073098752,1073741824,394203136,4096,118523922,94382871,2989207552,1000452096
1788538732.730946,2026-09-04T16:18:51Z,1,500084333,18736,1309139514,1046772,110896640,895437,20,200000,100000,1072635904,1073741824,393486336,4096,118523922,94382871,3012468736,1000452096
1788538737.953637,2026-09-04T16:18:51Z,1,500084333,18736,1309139514,1046772,117820083,895437,20,200000,100000,1071108096,1073741824,390778880,4096,118523922,94382871,3033038848,1000452096
1788538743.133511,2026-09-04T16:18:51Z,1,500084333,18736,1309139514,1046772,125216716,1255754,24,200000,100000,1072345088,1073741824,392806400,4096,118523922,94382871,3056689152,1000452096
1788538748.307421,2026-09-04T16:19:06Z,1,499917094,19516,1368560821,1047340,132084750,1255754,24,200000,100000,1072721920,1073741824,392056832,4096,118523922,94382870,3078004736,1000452096
1788538753.456092,2026-09-04T16:19:06Z,1,499917094,19516,1368560821,1047340,139137670,1255754,24,200000,100000,1072480256,1073741824,391553024,4096,118523922,94382870,3098546176,1000452096
1788538758.624741,2026-09-04T16:19:06Z,1,499917094,19516,1368560821,1047340,146166156,1255754,24,200000,100000,1072705536,1073741824,391839744,4096,118523922,94382870,3117920256,1000452096
1788538763.779283,2026-09-04T16:19:21Z,1,500138372,19732,1350898107,1047176,152980348,1255754,24,200000,100000,1073127424,1073741824,391954432,4096,118523922,94382870,3138105344,1000452096
1788538768.971098,2026-09-04T16:19:21Z,1,500138372,19732,1350898107,1047176,159989770,1255754,24,200000,100000,1073156096,1073741824,391356416,4096,118523922,94382870,3158622208,1000452096
1788538774.153655,2026-09-04T16:19:21Z,1,500138372,19732,1350898107,1047176,160980053,1255754,24,200000,100000,1070800896,1073741824,381784064,4096,118523922,94382870,3164385280,1000452096
1788538779.330361,2026-09-04T16:19:36Z,1,265414882,19300,738328131,1044396,160993051,1255754,24,200000,100000,1071202304,1073741824,381521920,4096,118523922,94382870,3164385280,1000452096
1788538784.511976,2026-09-04T16:19:36Z,1,265414882,19300,738328131,1044396,161017674,1255754,24,200000,100000,1070305280,1073741824,381521920,4096,118523922,94382870,3164385280,1000452096
1788538789.683718,2026-09-04T16:19:36Z,1,265414882,19300,738328131,1044396,161038118,1255754,24,200000,100000,1070952448,1073741824,381521920,4096,118523922,94382870,3164385280,1000452096
