ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788539739.781239,2026-09-04T16:35:36Z,0,,,37551516,875820,753387428,731336604,1488,200000,100000,902135808,1073741824,520994816,4096,118523922,94334099,8472236032,16923897856
1788539744.925349,2026-09-04T16:35:36Z,0,,,37551516,875820,753411828,731336604,1488,200000,100000,901525504,1073741824,520994816,4096,118523922,94334099,8472236032,16923897856
1788539750.098236,2026-09-04T16:35:36Z,0,,,37551516,875820,753441065,731336604,1488,200000,100000,902479872,1073741824,521510912,4096,118523922,94334099,8472752128,16923897856
1788539755.282124,2026-09-04T16:35:51Z,1,414666,2368,66342883,879432,753460482,731336604,1488,200000,100000,902332416,1073741824,521510912,4096,118523922,94334099,8472752128,16923897856
1788539760.451590,2026-09-04T16:35:51Z,1,414666,2368,66342883,879432,753690181,731336604,1488,200000,100000,905506816,1073741824,524853248,4096,118523922,94334099,8476110848,16923906048
1788539765.594878,2026-09-04T16:35:51Z,1,414666,2368,66342883,879432,755823825,731336604,1488,200000,100000,947179520,1073741824,555864064,4096,118523922,94334099,8507129856,16923906048
1788539770.798784,2026-09-04T16:36:06Z,1,117143285,7240,182245602,927768,758365624,731336604,1488,200000,100000,973725696,1073741824,576872448,4096,118523922,94334098,8528113664,16923975680
1788539775.958552,2026-09-04T16:36:06Z,1,117143285,7240,182245602,927768,761485818,731336604,1488,200000,100000,977457152,1073741824,580972544,4096,118523922,94334098,8532213760,16923975680
1788539781.138908,2026-09-04T16:36:06Z,1,117143285,7240,182245602,927768,764536843,731336604,1488,200000,100000,982777856,1073741824,581963776,4096,118523922,94334124,8533204992,16923975680
1788539786.286320,2026-09-04T16:36:21Z,1,484351078,7232,572866773,958932,767769269,731336604,1488,200000,100000,985665536,1073741824,582283264,4096,118523922,94334124,8533524480,16923975680
1788539791.449105,2026-09-04T16:36:21Z,1,484351078,7232,572866773,958932,770904884,731336604,1488,200000,100000,990912512,1073741824,582631424,4096,118523922,94334124,8533872640,16923975680
1788539796.600974,2026-09-04T16:36:21Z,1,484351078,7232,572866773,958932,774400245,731336604,1488,200000,100000,990777344,1073741824,582787072,4096,118523922,94334124,8534028288,16923975680
1788539801.772289,2026-09-04T16:36:36Z,1,500326608,8988,637557449,966364,777606756,731336604,1488,200000,100000,991973376,1073741824,582860800,4096,118523922,94334124,8534102016,16924000256
1788539806.927689,2026-09-04T16:36:36Z,1,500326608,8988,637557449,966364,780849012,731336604,1488,200000,100000,991592448,1073741824,582983680,4096,118523922,94334124,8534224896,16924000256
1788539812.103726,2026-09-04T16:36:51Z,1,499978778,10588,622436169,967748,784028771,731336604,1488,200000,100000,991883264,1073741824,583151616,4096,118523922,94334124,8534392832,16924000256
1788539817.253661,2026-09-04T16:36:51Z,1,499978778,10588,622436169,967748,787352262,731336604,1488,200000,100000,991444992,1073741824,583233536,4096,118523922,94334124,8534474752,16924000256
1788539822.430346,2026-09-04T16:36:51Z,1,499978778,10588,622436169,967748,790536518,731336604,1488,200000,100000,991907840,1073741824,583245824,4096,118523922,94334124,8534487040,16924000256
1788539827.575187,2026-09-04T16:37:06Z,1,499759538,11512,661340381,973160,794293103,731336604,1488,200000,100000,996712448,1073741824,583327744,4096,118523922,94334124,8534568960,16924000256
1788539832.756543,2026-09-04T16:37:06Z,1,499759538,11512,661340381,973160,797497681,731336604,1488,200000,100000,997490688,1073741824,583352320,4096,118523922,94334124,8534593536,16924000256
1788539837.930177,2026-09-04T16:37:06Z,1,499759538,11512,661340381,973160,800729186,731336604,1488,200000,100000,996433920,1073741824,583421952,4096,118523922,94334124,8534654976,16924033024
1788539843.108735,2026-09-04T16:37:21Z,1,500245217,12584,622854219,973020,804079461,731336604,1488,200000,100000,997658624,1073741824,583471104,4096,118523922,94334124,8534704128,16924033024
1788539848.276743,2026-09-04T16:37:21Z,1,500245217,12584,622854219,973020,807325477,731336604,1488,200000,100000,996945920,1073741824,583487488,4096,118523922,94334123,8534720512,16924049408
1788539853.450688,2026-09-04T16:37:21Z,1,500245217,12584,622854219,973020,810470127,731336604,1488,200000,100000,997216256,1073741824,583520256,4096,118523922,94334123,8534753280,16924049408
1788539858.597775,2026-09-04T16:37:36Z,1,499564553,13144,646353286,973672,813905477,731336604,1488,200000,100000,997212160,1073741824,583573504,4096,118523922,94334123,8534806528,16924049408
1788539863.746528,2026-09-04T16:37:36Z,1,499564553,13144,646353286,973672,817010275,731336604,1488,200000,100000,998010880,1073741824,583585792,4096,118523922,94334123,8534818816,16924049408
1788539868.925670,2026-09-04T16:37:36Z,1,499564553,13144,646353286,973672,820223527,731336604,1488,200000,100000,997269504,1073741824,583602176,4096,118523922,94334123,8534835200,16924049408
1788539874.077831,2026-09-04T16:37:51Z,1,500384461,12360,611642685,972464,823499414,731336604,1488,200000,100000,998498304,1073741824,583610368,4096,118523922,94334123,8534843392,16924090368
1788539879.245822,2026-09-04T16:37:51Z,1,500384461,12360,611642685,972464,826799078,731336604,1488,200000,100000,997023744,1073741824,583634944,4096,118523922,94334123,8534867968,16924090368
1788539884.396600,2026-09-04T16:37:51Z,1,500384461,12360,611642685,972464,827392260,731336604,1488,200000,100000,1002713088,1073741824,583651328,4096,118523922,94334123,8534884352,16924090368
1788539889.563555,2026-09-04T16:38:06Z,1,273468833,11780,374859307,977152,827420192,731336604,1488,200000,100000,1002405888,1073741824,583651328,4096,118523922,94334123,8534884352,16924090368
1788539894.751831,2026-09-04T16:38:06Z,1,273468833,11780,374859307,977152,827441927,731336604,1488,200000,100000,1002004480,1073741824,583651328,4096,118523922,94334123,8534884352,16924090368
1788539899.949899,2026-09-04T16:38:06Z,1,273468833,11780,374859307,977152,827456573,731336604,1488,200000,100000,1002610688,1073741824,583651328,4096,118523922,94334123,8534884352,16924090368
