ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788539263.021065,2026-09-04T16:27:36Z,0,,,32276313,1025576,222472311,12691693,132,200000,100000,946573312,1073741824,452988928,4096,118523922,94342693,3554975744,8865824768
1788539268.165678,2026-09-04T16:27:36Z,0,,,32276313,1025576,222509489,12691693,132,200000,100000,946962432,1073741824,453410816,4096,118523922,94342693,3555397632,8865824768
1788539273.365386,2026-09-04T16:27:51Z,1,1159650,2100,61764157,923452,222537898,12691693,132,200000,100000,946962432,1073741824,453410816,4096,118523922,94342693,3555397632,8865824768
1788539278.563525,2026-09-04T16:27:51Z,1,1159650,2100,61764157,923452,222551230,12691693,132,200000,100000,946696192,1073741824,453410816,4096,118523922,94342693,3555397632,8865832960
1788539283.756436,2026-09-04T16:27:51Z,1,1159650,2100,61764157,923452,223438623,12691693,132,200000,100000,947453952,1073741824,453435392,4096,118523922,94342692,3555422208,8865841152
1788539288.921933,2026-09-04T16:28:06Z,1,821955,2500,261088810,926760,231178982,13092392,141,200000,100000,959741952,1073741824,453459968,4096,118523922,94342692,3555446784,8865841152
1788539294.063809,2026-09-04T16:28:06Z,1,821955,2500,261088810,926760,241541800,17448291,186,200000,100000,961888256,1073741824,453476352,4096,118523922,94342692,3555463168,8865841152
1788539299.216582,2026-09-04T16:28:06Z,1,821955,2500,261088810,926760,251849419,28268592,238,200000,100000,963203072,1073741824,453476352,4096,118523922,94342718,3555463168,8865861632
1788539304.391857,2026-09-04T16:28:21Z,1,1947586,4028,1995487661,943332,262183977,46297488,290,200000,100000,969940992,1073741824,454098944,4096,118523922,94342718,3556126720,8865861632
1788539309.578072,2026-09-04T16:28:21Z,1,1947586,4028,1995487661,943332,272573428,70330515,342,200000,100000,974000128,1073741824,454897664,4096,118523922,94342718,3556876288,8865894400
1788539314.772650,2026-09-04T16:28:21Z,1,1947586,4028,1995487661,943332,283008636,102208812,394,200000,100000,977170432,1073741824,455249920,4096,118523922,94342718,3557228544,8865894400
1788539319.988055,2026-09-04T16:28:36Z,1,2356690,5592,2002329084,953888,293372370,135724469,446,200000,100000,983498752,1073741824,455671808,4096,118523922,94342718,3557650432,8865894400
1788539325.184139,2026-09-04T16:28:36Z,1,2356690,5592,2002329084,953888,303796707,168528094,498,200000,100000,983879680,1073741824,455872512,4096,118523922,94342718,3557851136,8865894400
1788539330.384970,2026-09-04T16:28:36Z,1,2356690,5592,2002329084,953888,314158968,201410332,550,200000,100000,984195072,1073741824,456261632,4096,118523922,94342718,3558248448,8865894400
1788539335.586587,2026-09-04T16:28:51Z,1,2412968,6140,1998658248,960248,324581655,234793466,602,200000,100000,985362432,1073741824,456835072,4096,118523922,94342717,3558862848,8865894400
1788539340.783421,2026-09-04T16:28:51Z,1,2412968,6140,1998658248,960248,334969154,268589953,654,200000,100000,985636864,1073741824,456966144,4096,118523922,94342717,3558944768,8865894400
1788539345.983671,2026-09-04T16:28:51Z,1,2412968,6140,1998658248,960248,345400997,301820495,706,200000,100000,986087424,1073741824,457355264,4096,118523922,94342717,3559333888,8865943552
1788539351.183402,2026-09-04T16:29:06Z,1,2135151,7208,2000444651,962592,355818368,334279350,758,200000,100000,987934720,1073741824,458436608,4096,118523922,94342717,3560427520,8865943552
1788539356.385292,2026-09-04T16:29:06Z,1,2135151,7208,2000444651,962592,366203698,366841788,810,200000,100000,988905472,1073741824,459419648,4096,118523922,94342717,3561398272,8865943552
1788539361.585997,2026-09-04T16:29:21Z,1,2366951,7264,1999319178,970452,377009132,400457367,864,200000,100000,994402304,1073741824,460165120,4096,118523922,94342717,3562143744,8865943552
1788539366.998126,2026-09-04T16:29:21Z,1,2366951,7264,1999319178,970452,387398774,433947029,916,200000,100000,995467264,1073741824,460611584,4096,118523922,94342717,3562622976,8865943552
1788539372.185424,2026-09-04T16:29:21Z,1,2366951,7264,1999319178,970452,397968675,466748117,969,200000,100000,996712448,1073741824,460791808,4096,118523922,94342717,3562770432,8865943552
1788539377.486007,2026-09-04T16:29:36Z,1,4732882,7500,2001191530,971752,408361403,498725820,1021,200000,100000,996323328,1073741824,460972032,4096,118523922,94342717,3562950656,8865943552
1788539382.688630,2026-09-04T16:29:36Z,1,4732882,7500,2001191530,971752,418782438,531777495,1073,200000,100000,996581376,1073741824,461062144,4096,118523922,94342717,3563040768,8865943552
1788539387.884521,2026-09-04T16:29:36Z,1,4732882,7500,2001191530,971752,429240672,565096999,1125,200000,100000,1001615360,1073741824,461197312,4096,118523922,94342717,3563175936,8865943552
1788539393.090630,2026-09-04T16:29:51Z,1,2165967,7720,1998553867,977628,439553003,597698437,1177,200000,100000,1003950080,1073741824,462577664,4096,118523922,94342716,3564556288,8865943552
1788539398.282453,2026-09-04T16:29:51Z,1,2165967,7720,1998553867,977628,449964927,630988860,1229,200000,100000,1004236800,1073741824,462733312,4096,118523922,94342716,3564711936,8865943552
1788539403.486451,2026-09-04T16:29:51Z,1,2165967,7720,1998553867,977628,460372192,664228120,1281,200000,100000,1004736512,1073741824,463036416,4096,118523922,94342716,3565015040,8865943552
