ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788539092.113103,2026-09-04T16:24:51Z,0,,,51580554,1028264,41159182,7359025,109,200000,100000,1051037696,1073741824,668028928,4096,118523922,94342739,1838428160,8864579584
1788539097.256589,2026-09-04T16:24:51Z,0,,,51580554,1028264,41187164,7359025,109,200000,100000,1051082752,1073741824,668028928,4096,118523922,94342739,1838428160,8864579584
1788539102.444460,2026-09-04T16:24:51Z,0,,,51580554,1028264,41211891,7359025,109,200000,100000,1051381760,1073741824,668028928,4096,118523922,94342739,1838428160,8864579584
1788539107.629740,2026-09-04T16:25:06Z,1,277156,2116,23145224,1024984,41233734,7359025,109,200000,100000,1051242496,1073741824,668028928,4096,118523922,94342739,1838428160,8864579584
1788539112.782234,2026-09-04T16:25:06Z,1,277156,2116,23145224,1024984,41527052,7359025,109,200000,100000,1063747584,1073741824,673042432,4096,118523922,94342738,1843449856,8864587776
1788539117.910558,2026-09-04T16:25:06Z,1,277156,2116,23145224,1024984,44390880,7359025,109,200000,100000,1073053696,1073741824,629018624,4096,118523922,94342764,1886068736,8864874496
1788539123.089253,2026-09-04T16:25:21Z,1,150926812,7536,428411674,1047024,49492760,7359025,109,200000,100000,1073053696,1073741824,616464384,4096,118523922,94342764,1941549056,8864935936
1788539128.245401,2026-09-04T16:25:21Z,1,150926812,7536,428411674,1047024,56319980,7359025,109,200000,100000,1073082368,1073741824,604524544,4096,118523922,94342772,1991016448,8864993280
1788539133.434505,2026-09-04T16:25:21Z,1,150926812,7536,428411674,1047024,63559170,7359025,109,200000,100000,1072930816,1073741824,581705728,4096,118523922,94342764,2067841024,8865157120
1788539138.570738,2026-09-04T16:25:36Z,1,491552410,12344,1352451488,1047304,70893344,7359025,109,200000,100000,1072607232,1073741824,566595584,4096,118523922,94342764,2148753408,8865591296
1788539143.713193,2026-09-04T16:25:36Z,1,491552410,12344,1352451488,1047304,78599456,7359025,109,200000,100000,1072857088,1073741824,545845248,4096,118523922,94342764,2236669952,8865591296
1788539148.902269,2026-09-04T16:25:36Z,1,491552410,12344,1352451488,1047304,86911452,8987682,115,200000,100000,1073065984,1073741824,540028928,4096,118523922,94342764,2342322176,8865591296
1788539154.057027,2026-09-04T16:25:51Z,1,499087887,13608,1544673608,1034520,95248639,8987682,115,200000,100000,1061515264,1073741824,526409728,4096,118523922,94342764,2422448128,8865591296
