ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788539442.537926,2026-09-04T16:30:36Z,0,,,32802055,986048,482946972,722273644,1388,200000,100000,957435904,1073741824,463974400,4096,118523922,94342689,3565953024,8865968128
1788539447.684595,2026-09-04T16:30:36Z,0,,,32802055,986048,482981064,722273644,1388,200000,100000,957804544,1073741824,463974400,4096,118523922,94342689,3565953024,8865968128
1788539452.912114,2026-09-04T16:30:51Z,0,,,63023260,933776,483001036,722273644,1388,200000,100000,958160896,1073741824,463974400,4096,118523922,94342688,3565953024,8865968128
1788539458.108071,2026-09-04T16:30:51Z,0,,,63023260,933776,483023444,722273644,1388,200000,100000,957870080,1073741824,463974400,4096,118523922,94342688,3565953024,8865984512
1788539463.276342,2026-09-04T16:30:51Z,0,,,63023260,933776,484866669,723507185,1397,200000,100000,1072926720,1073741824,283058176,4096,118523922,94342564,3602440192,8929759232
1788539468.481720,2026-09-04T16:31:06Z,1,134321267,24944,508178285,1046896,494345551,726075538,1417,200000,100000,1072664576,1073741824,78827520,4096,118523922,94342048,3664293888,9275973632
1788539473.664947,2026-09-04T16:31:06Z,1,134321267,24944,508178285,1046896,502997095,726075538,1417,200000,100000,1072930816,1073741824,74653696,4096,118523922,94341582,3686211584,9461342208
1788539478.809718,2026-09-04T16:31:06Z,1,134321267,24944,508178285,1046896,511698878,726075538,1417,200000,100000,1072574464,1073741824,70672384,4096,118523922,94341156,3705397248,9626091520
1788539483.986520,2026-09-04T16:31:21Z,1,496195315,26568,1718792217,1047532,520579942,726075538,1417,200000,100000,1072467968,1073741824,475725824,4096,118523922,94340713,3734863872,9791102976
1788539489.147078,2026-09-04T16:31:21Z,1,496195315,26568,1718792217,1047532,529199811,726135491,1421,200000,100000,1072484352,1073741824,469532672,4096,118523922,94340281,3766779904,10040561664
1788539494.339453,2026-09-04T16:31:21Z,1,496195315,26568,1718792217,1047532,537692044,726148785,1423,200000,100000,1072865280,1073741824,465932288,4096,118523922,94339829,3822915584,10323374080
1788539499.481868,2026-09-04T16:31:36Z,1,484149351,26348,1679160465,1046488,546267839,728447256,1437,200000,100000,1072959488,1073741824,451362816,4096,118523922,94339413,3967623168,10652479488
1788539504.656940,2026-09-04T16:31:36Z,1,484149351,26348,1679160465,1046488,554637810,728509975,1441,200000,100000,1072881664,1073741824,447987712,4096,118523922,94338969,4045832192,10947989504
1788539509.800406,2026-09-04T16:31:36Z,1,484149351,26348,1679160465,1046488,563200659,728549717,1445,200000,100000,1072320512,1073741824,441454592,4096,118523922,94338561,4122292224,11256541184
1788539514.978366,2026-09-04T16:31:51Z,1,458677139,26020,1633687921,1047812,571973284,728637699,1450,200000,100000,1072787456,1073741824,424366080,4096,118523922,94338092,4219248640,11799887872
1788539520.165174,2026-09-04T16:31:51Z,1,458677139,26020,1633687921,1047812,580587266,728695517,1453,200000,100000,1072324608,1073741824,400932864,4096,118523922,94337690,4316028928,12287369216
1788539525.347250,2026-09-04T16:31:51Z,1,458677139,26020,1633687921,1047812,584159638,728695517,1453,200000,100000,1071566848,1073741824,399749120,4096,118523922,94337514,4359671808,12514926592
1788539530.516635,2026-09-04T16:32:06Z,1,333949500,26112,1213155127,1045272,584844453,728695517,1453,200000,100000,1067106304,1073741824,219926528,4096,118523922,94337514,4518514688,12550340608
1788539535.710692,2026-09-04T16:32:06Z,1,333949500,26112,1213155127,1045272,584914219,728695517,1453,200000,100000,1068765184,1073741824,221937664,4096,118523922,94337514,4518514688,12561883136
1788539540.881822,2026-09-04T16:32:06Z,1,333949500,26112,1213155127,1045272,584976281,728695517,1453,200000,100000,1071013888,1073741824,235692032,4096,118523922,94337513,4518514688,12638560256
