ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788547378.968010,2026-09-04T18:42:51Z,0,,,22923112,896344,1602702115,2025694143,3888,200000,100000,833609728,1073741824,51183616,4096,118523922,94334002,14253916160,16925167616
1788547384.106421,2026-09-04T18:42:51Z,0,,,22923112,896344,1602720800,2025694143,3888,200000,100000,832958464,1073741824,51183616,4096,118523922,94334002,14253916160,16925167616
1788547389.329587,2026-09-04T18:43:06Z,1,1433807,2076,80328509,812612,1602741071,2025694143,3888,200000,100000,833503232,1073741824,51183616,4096,118523922,94334002,14253916160,16925167616
1788547394.499684,2026-09-04T18:43:06Z,1,1433807,2076,80328509,812612,1602768120,2025694143,3888,200000,100000,834445312,1073741824,51183616,4096,118523922,94334002,14253916160,16925184000
1788547399.672676,2026-09-04T18:43:06Z,1,1433807,2076,80328509,812612,1603618266,2025694143,3888,200000,100000,834297856,1073741824,51216384,4096,118523922,94334002,14254043136,16925184000
1788547404.809233,2026-09-04T18:43:21Z,1,527333,2336,186217400,815128,1611383213,2025713921,3895,200000,100000,837419008,1073741824,51216384,4096,118523922,94334028,14254043136,16925184000
1788547410.003728,2026-09-04T18:43:21Z,1,527333,2336,186217400,815128,1621707745,2030981931,3942,200000,100000,849182720,1073741824,51732480,4096,118523922,94334028,14254559232,16925184000
1788547415.157655,2026-09-04T18:43:21Z,1,527333,2336,186217400,815128,1632046560,2042074599,3994,200000,100000,853282816,1073741824,51732480,4096,118523922,94334028,14254559232,16925184000
1788547420.321724,2026-09-04T18:43:36Z,1,2209244,4008,1955194637,832860,1642453457,2060367800,4046,200000,100000,856530944,1073741824,51732480,4096,118523922,94334028,14254559232,16925200384
1788547425.548423,2026-09-04T18:43:36Z,1,2209244,4008,1955194637,832860,1652870766,2084444050,4098,200000,100000,860000256,1073741824,51732480,4096,118523922,94334028,14254559232,16925200384
1788547430.748197,2026-09-04T18:43:36Z,1,2209244,4008,1955194637,832860,1663282942,2116399510,4150,200000,100000,862367744,1073741824,51732480,4096,118523922,94334028,14254559232,16925200384
1788547435.954317,2026-09-04T18:43:51Z,1,2045098,5408,2005329902,841424,1673661414,2150062737,4202,200000,100000,863031296,1073741824,51732480,4096,118523922,94334027,14254559232,16925200384
1788547441.147814,2026-09-04T18:43:51Z,1,2045098,5408,2005329902,841424,1684087343,2183642398,4254,200000,100000,868175872,1073741824,51732480,4096,118523922,94334027,14254559232,16925200384
1788547446.349156,2026-09-04T18:43:51Z,1,2045098,5408,2005329902,841424,1694449225,2218523907,4306,200000,100000,868536320,1073741824,51732480,4096,118523922,94334027,14254559232,16925200384
1788547451.550468,2026-09-04T18:44:06Z,1,2715471,5904,1994580750,847384,1704876248,2251838077,4358,200000,100000,868880384,1073741824,51732480,4096,118523922,94334027,14254559232,16925200384
1788547456.756427,2026-09-04T18:44:06Z,1,2715471,5904,1994580750,847384,1715277290,2285347229,4410,200000,100000,869175296,1073741824,51732480,4096,118523922,94334027,14254559232,16925200384
1788547461.948303,2026-09-04T18:44:21Z,1,2827891,7180,1998623334,848156,1725742833,2319478223,4462,200000,100000,869523456,1073741824,51732480,4096,118523922,94334027,14254559232,16925233152
1788547467.158896,2026-09-04T18:44:21Z,1,2827891,7180,1998623334,848156,1736077827,2352912303,4514,200000,100000,870031360,1073741824,51732480,4096,118523922,94334027,14254559232,16925233152
1788547472.348602,2026-09-04T18:44:21Z,1,2827891,7180,1998623334,848156,1746458488,2385944349,4566,200000,100000,870539264,1073741824,51732480,4096,118523922,94334027,14254559232,16925233152
1788547477.552400,2026-09-04T18:44:36Z,1,2682627,7768,2000220406,849132,1756843915,2420444259,4618,200000,100000,870518784,1073741824,51732480,4096,118523922,94334027,14254559232,16925233152
1788547482.746648,2026-09-04T18:44:36Z,1,2682627,7768,2000220406,849132,1767261039,2454718506,4670,200000,100000,870887424,1073741824,51732480,4096,118523922,94334027,14254559232,16925233152
1788547487.958322,2026-09-04T18:44:36Z,1,2682627,7768,2000220406,849132,1777670730,2488463033,4722,200000,100000,871006208,1073741824,51732480,4096,118523922,94334027,14254559232,16925233152
1788547493.153651,2026-09-04T18:44:51Z,1,2350003,7952,2000217428,849944,1788051687,2522193551,4774,200000,100000,872251392,1073741824,51732480,4096,118523922,94334027,14254559232,16925233152
1788547498.359208,2026-09-04T18:44:51Z,1,2350003,7952,2000217428,849944,1798467433,2554645692,4826,200000,100000,871890944,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547503.556204,2026-09-04T18:44:51Z,1,2350003,7952,2000217428,849944,1808840943,2588029888,4878,200000,100000,872144896,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547508.745605,2026-09-04T18:45:06Z,1,2083477,8688,1998409433,850688,1819268405,2621991081,4930,200000,100000,872742912,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547513.958549,2026-09-04T18:45:06Z,1,2083477,8688,1998409433,850688,1829646198,2655378818,4982,200000,100000,877862912,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547519.150353,2026-09-04T18:45:06Z,1,2083477,8688,1998409433,850688,1840058491,2688764488,5034,200000,100000,877514752,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547524.355417,2026-09-04T18:45:21Z,1,2074121,9376,2000968973,856272,1850435696,2721278152,5086,200000,100000,877637632,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547529.552546,2026-09-04T18:45:21Z,1,2074121,9376,2000968973,856272,1857929479,2736961921,5123,200000,100000,879149056,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547534.728088,2026-09-04T18:45:21Z,1,2074121,9376,2000968973,856272,1857948612,2736961921,5123,200000,100000,878456832,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547539.907316,2026-09-04T18:45:36Z,1,923496,9336,874490254,856572,1857969513,2736961921,5123,200000,100000,878731264,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
1788547545.089082,2026-09-04T18:45:36Z,1,923496,9336,874490254,856572,1857988874,2736961921,5123,200000,100000,878182400,1073741824,51732480,4096,118523922,94334026,14254559232,16925233152
