ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788547210.474739,2026-09-04T18:40:06Z,0,,,25577426,1043872,1352907173,1332505887,2653,200000,100000,893145088,1073741824,434028544,4096,118523922,94334008,8744161280,16925003776
1788547215.616898,2026-09-04T18:40:06Z,0,,,25577426,1043872,1352929083,1332505887,2653,200000,100000,893538304,1073741824,434028544,4096,118523922,94334008,8744161280,16925003776
1788547220.784584,2026-09-04T18:40:06Z,0,,,25577426,1043872,1352947819,1332505887,2653,200000,100000,893595648,1073741824,434028544,4096,118523922,94334008,8744161280,16925003776
1788547225.963447,2026-09-04T18:40:21Z,1,924418,2436,83039642,871044,1352961291,1332505887,2653,200000,100000,893661184,1073741824,434028544,4096,118523922,94334034,8744161280,16925003776
1788547231.141605,2026-09-04T18:40:21Z,1,924418,2436,83039642,871044,1354440520,1332647885,2658,200000,100000,958914560,1073741824,495603712,4096,118523922,94334034,8806182912,16925011968
1788547236.275987,2026-09-04T18:40:21Z,1,924418,2436,83039642,871044,1364308108,1337855949,2702,200000,100000,1071140864,1073741824,530137088,4096,118523922,94334034,8891846656,16925011968
1788547241.446452,2026-09-04T18:40:36Z,1,2884897,4580,796344104,1040616,1374713771,1358230476,2754,200000,100000,1072345088,1073741824,563306496,4096,118523922,94334034,8955342848,16925073408
1788547246.639111,2026-09-04T18:40:36Z,1,2884897,4580,796344104,1040616,1385113196,1385604662,2806,200000,100000,1067810816,1073741824,534519808,4096,118523922,94334034,9013534720,16925073408
1788547251.845096,2026-09-04T18:40:51Z,1,5383005,6684,1999311208,976512,1395511038,1416906926,2858,200000,100000,1023508480,1073741824,466198528,4096,118523922,94334033,9117085696,16925073408
1788547257.047910,2026-09-04T18:40:51Z,1,5383005,6684,1999311208,976512,1405905168,1451389302,2910,200000,100000,1039790080,1073741824,472932352,4096,118523922,94334033,9214033920,16925073408
1788547262.258223,2026-09-04T18:40:51Z,1,5383005,6684,1999311208,976512,1416266793,1485877925,2962,200000,100000,1072836608,1073741824,435793920,4096,118523922,94334033,9359458304,16925073408
1788547267.441441,2026-09-04T18:41:06Z,1,7957249,7272,1999270659,1030060,1426725715,1524094447,3014,200000,100000,1073123328,1073741824,433672192,4096,118523922,94334033,9521184768,16925073408
1788547272.653345,2026-09-04T18:41:06Z,1,7957249,7272,1999270659,1030060,1437208912,1565278863,3066,200000,100000,1008226304,1073741824,378032128,4096,118523922,94334033,9703182336,16925073408
1788547277.943983,2026-09-04T18:41:06Z,1,7957249,7272,1999270659,1030060,1447664939,1589748880,3119,200000,100000,1072951296,1073741824,431497216,4096,118523922,94334033,10204467200,16925073408
1788547283.136609,2026-09-04T18:41:21Z,1,5904993,7896,1999647690,1046960,1458082528,1616770489,3171,200000,100000,1073123328,1073741824,285839360,4096,118523922,94334033,10453520384,16925073408
1788547288.341582,2026-09-04T18:41:21Z,1,5904993,7896,1999647690,1046960,1468490162,1647629340,3223,200000,100000,1068396544,1073741824,451174400,4096,118523922,94334032,10698821632,16925073408
1788547293.551685,2026-09-04T18:41:21Z,1,5904993,7896,1999647690,1046960,1478901463,1677784185,3275,200000,100000,1072807936,1073741824,225320960,4096,118523922,94334032,10937868288,16925073408
1788547298.750548,2026-09-04T18:41:36Z,1,6875208,9120,1999915455,1046808,1489491761,1710013883,3328,200000,100000,952164352,1073741824,453939200,4096,118523922,94334032,11173240832,16925073408
