ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788547046.482524,2026-09-04T18:37:21Z,0,,,24404307,1044468,1117171568,736611399,1517,200000,100000,926199808,1073741824,27906048,4096,118523922,94334013,8658239488,16924815360
1788547051.633796,2026-09-04T18:37:21Z,0,,,24404307,1044468,1117192460,736611399,1517,200000,100000,926797824,1073741824,27906048,4096,118523922,94334013,8658239488,16924815360
1788547056.821417,2026-09-04T18:37:36Z,1,1037498,2092,80302708,903356,1117213172,736611399,1517,200000,100000,926093312,1073741824,27906048,4096,118523922,94334013,8658239488,16924815360
1788547062.019878,2026-09-04T18:37:36Z,1,1037498,2092,80302708,903356,1117232545,736611399,1517,200000,100000,926273536,1073741824,27906048,4096,118523922,94334012,8658239488,16924815360
1788547067.207442,2026-09-04T18:37:36Z,1,1037498,2092,80302708,903356,1117854353,736611399,1517,200000,100000,1004503040,1073741824,99180544,4096,118523922,94334012,8729493504,16924909568
1788547072.341106,2026-09-04T18:37:51Z,1,22449596,7000,344090660,1001264,1123547320,736611399,1517,200000,100000,1028407296,1073741824,103694336,4096,118523922,94334012,8734007296,16924909568
1788547077.501616,2026-09-04T18:37:51Z,1,22449596,7000,344090660,1001264,1133563155,739137633,1562,200000,100000,1062318080,1073741824,104292352,4096,118523922,94334012,8734605312,16924921856
1788547082.665493,2026-09-04T18:37:51Z,1,22449596,7000,344090660,1001264,1143843855,746968377,1614,200000,100000,1072160768,1073741824,102641664,4096,118523922,94334012,8735068160,16924921856
1788547087.829303,2026-09-04T18:38:06Z,1,115978405,8720,1950666155,1046008,1154247194,760726616,1666,200000,100000,1071644672,1073741824,82415616,4096,118523922,94334012,8735948800,16924921856
1788547093.033304,2026-09-04T18:38:06Z,1,115978405,8720,1950666155,1046008,1164649822,780243410,1718,200000,100000,1071382528,1073741824,51875840,4096,118523922,94334012,8736952320,16924921856
1788547098.237442,2026-09-04T18:38:06Z,1,115978405,8720,1950666155,1046008,1175082292,805289016,1770,200000,100000,1071558656,1073741824,34664448,4096,118523922,94334012,8738099200,16924921856
1788547103.444373,2026-09-04T18:38:21Z,1,111616076,11932,1999978734,1043900,1185475534,834559294,1822,200000,100000,1071845376,1073741824,23846912,4096,118523922,94334012,8738570240,16924921856
1788547108.639906,2026-09-04T18:38:21Z,1,111616076,11932,1999978734,1043900,1196056841,866497518,1875,200000,100000,1070538752,1073741824,17154048,4096,118523922,94334037,8738979840,16924930048
1788547113.938363,2026-09-04T18:38:21Z,1,111616076,11932,1999978734,1043900,1206470802,898088261,1927,200000,100000,1070735360,1073741824,16367616,4096,118523922,94334037,8739241984,16924930048
1788547119.140158,2026-09-04T18:38:36Z,1,115626534,13556,2000829331,1043240,1216844639,929234469,1979,200000,100000,1068855296,1073741824,14798848,4096,118523922,94334037,8739512320,16924930048
1788547124.342499,2026-09-04T18:38:36Z,1,115626534,13556,2000829331,1043240,1227285152,960822774,2031,200000,100000,1070034944,1073741824,14315520,4096,118523922,94334037,8740618240,16924930048
1788547129.545254,2026-09-04T18:38:36Z,1,115626534,13556,2000829331,1043240,1237661568,992018815,2083,200000,100000,1070088192,1073741824,593707008,4096,118523922,94334037,8740810752,16924930048
1788547134.739107,2026-09-04T18:38:51Z,1,115306943,14648,1998918438,1041708,1248062494,1022721764,2135,200000,100000,1071624192,1073741824,590434304,4096,118523922,94334037,8740954112,16924930048
