ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788546881.985999,2026-09-04T18:34:36Z,0,,,22077333,1017728,936512582,731623403,1493,200000,100000,1038245888,1073741824,632287232,4096,118523922,94334007,8620171264,16924725248
1788546887.125243,2026-09-04T18:34:36Z,0,,,22077333,1017728,936527940,731623403,1493,200000,100000,1038368768,1073741824,632287232,4096,118523922,94334015,8620171264,16924725248
1788546892.298416,2026-09-04T18:34:51Z,1,986705,2076,52246485,1012240,936560046,731623403,1493,200000,100000,1037914112,1073741824,632287232,4096,118523922,94334015,8620171264,16924725248
1788546897.503592,2026-09-04T18:34:51Z,1,986705,2076,52246485,1012240,936583549,731623403,1493,200000,100000,1038008320,1073741824,632287232,4096,118523922,94334015,8620171264,16924725248
1788546902.672543,2026-09-04T18:34:51Z,1,986705,2076,52246485,1012240,936869490,731623403,1493,200000,100000,1046450176,1073741824,632524800,4096,118523922,94334015,8620408832,16924733440
1788546907.820625,2026-09-04T18:35:06Z,1,55608959,6952,128255365,1031288,939287660,731623403,1493,200000,100000,1057726464,1073741824,632524800,4096,118523922,94334015,8620408832,16924733440
1788546912.981027,2026-09-04T18:35:06Z,1,55608959,6952,128255365,1031288,944636949,731624451,1494,200000,100000,1073106944,1073741824,551223296,4096,118523922,94334015,8622227456,16924741632
1788546918.134875,2026-09-04T18:35:06Z,1,55608959,6952,128255365,1031288,951276154,731624451,1494,200000,100000,1073045504,1073741824,537743360,4096,118523922,94334015,8626495488,16924741632
1788546923.283450,2026-09-04T18:35:21Z,1,436419608,9164,1165968626,1046020,958398736,731624451,1494,200000,100000,1071697920,1073741824,514965504,4096,118523922,94334015,8628674560,16924741632
1788546928.450097,2026-09-04T18:35:21Z,1,436419608,9164,1165968626,1046020,965782557,731624451,1494,200000,100000,1072820224,1073741824,367095808,4096,118523922,94334041,8634839040,16924790784
1788546933.655880,2026-09-04T18:35:21Z,1,436419608,9164,1165968626,1046020,973483773,731624451,1494,200000,100000,1072775168,1073741824,154185728,4096,118523922,94334041,8641970176,16924790784
1788546938.800502,2026-09-04T18:35:36Z,1,500708544,13040,1469076646,1046524,981496508,731624451,1494,200000,100000,1071357952,1073741824,125251584,4096,118523922,94334041,8645832704,16924790784
1788546943.947503,2026-09-04T18:35:36Z,1,500708544,13040,1469076646,1046524,990243164,733108420,1501,200000,100000,1072734208,1073741824,65376256,4096,118523922,94334040,8649486336,16924790784
1788546949.137361,2026-09-04T18:35:36Z,1,500708544,13040,1469076646,1046524,998723062,733108420,1501,200000,100000,1072799744,1073741824,61370368,4096,118523922,94334040,8651309056,16924790784
1788546954.290850,2026-09-04T18:35:51Z,1,498719952,14204,1641197840,1045324,1007048061,733108420,1501,200000,100000,1071525888,1073741824,60624896,4096,118523922,94334040,8652345344,16924790784
1788546959.455572,2026-09-04T18:35:51Z,1,498719952,14204,1641197840,1045324,1015517673,733108420,1501,200000,100000,1072410624,1073741824,60215296,4096,118523922,94334040,8653082624,16924790784
1788546964.604432,2026-09-04T18:35:51Z,1,498719952,14204,1641197840,1045324,1023723578,733108420,1501,200000,100000,1071439872,1073741824,60596224,4096,118523922,94334040,8653463552,16924790784
1788546969.757290,2026-09-04T18:36:06Z,1,499870808,15416,1617628891,1044688,1031981384,733108420,1501,200000,100000,1071079424,1073741824,59318272,4096,118523922,94334040,8653971456,16924790784
1788546974.910865,2026-09-04T18:36:06Z,1,499870808,15416,1617628891,1044688,1040557751,734660555,1508,200000,100000,1071181824,1073741824,54214656,4096,118523922,94334040,8654499840,16924790784
1788546980.099921,2026-09-04T18:36:06Z,1,499870808,15416,1617628891,1044688,1048750015,734660555,1508,200000,100000,1072717824,1073741824,54730752,4096,118523922,94334040,8655015936,16924790784
