ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788547668.608835,2026-09-04T18:47:36Z,1,234960,25584,117066226,1006668,1987899034,2975781238,5655,200000,100000,1054085120,1073741824,448684032,4096,118523922,94332668,18856087552,23958401024
1788547673.747802,2026-09-04T18:47:51Z,1,237790,25580,516218787,1047856,1988365207,2975781238,5655,200000,100000,1073061888,1073741824,468336640,4096,118523922,94332668,18940649472,23978921984
1788547678.909323,2026-09-04T18:47:51Z,1,237790,25580,516218787,1047856,1988426539,2975781238,5655,200000,100000,1073045504,1073741824,467591168,4096,118523922,94332668,18940649472,23988097024
1788547684.141957,2026-09-04T18:47:51Z,1,237790,25580,516218787,1047856,1988480876,2975781238,5655,200000,100000,1073074176,1073741824,467705856,4096,118523922,94332668,18940649472,23992553472
1788547689.326003,2026-09-04T18:48:06Z,1,507256,25584,11698335,1045304,1990176126,2975850213,5661,200000,100000,1072988160,1073741824,466391040,4096,118523922,94332608,18981326848,24056713216
1788547694.491212,2026-09-04T18:48:06Z,1,507256,25584,11698335,1045304,1999141876,2975874554,5667,200000,100000,1072816128,1073741824,465010688,4096,118523922,94332310,19112169472,24450371584
1788547699.647638,2026-09-04T18:48:06Z,1,507256,25584,11698335,1045304,2007767510,2975950199,5670,200000,100000,1072660480,1073741824,446402560,4096,118523922,94332034,19273924608,24762413056
1788547704.809303,2026-09-04T18:48:21Z,1,420340276,26988,1512803684,1046588,2016643392,2977482350,5688,200000,100000,1073102848,1073741824,415260672,4096,118523922,94331739,19513421824,25350086656
1788547709.978860,2026-09-04T18:48:21Z,1,420340276,26988,1512803684,1046588,2025435732,2977538079,5692,200000,100000,1072635904,1073741824,129966080,4096,118523922,94331459,19739688960,25887768576
1788547715.178232,2026-09-04T18:48:21Z,1,420340276,26988,1512803684,1046588,2034107821,2977597405,5694,200000,100000,1073135616,1073741824,105435136,4096,118523922,94331167,19945517056,26294460416
1788547720.338907,2026-09-04T18:48:36Z,1,465499265,27060,1674316031,1047380,2042778837,2977669956,5699,200000,100000,1072771072,1073741824,101314560,4096,118523922,94330875,20128485376,26680266752
1788547725.524573,2026-09-04T18:48:36Z,1,465499265,27060,1674316031,1047380,2051372370,2978019592,5711,200000,100000,1072902144,1073741824,101892096,4096,118523922,94330565,20312662016,27319390208
1788547730.685706,2026-09-04T18:48:36Z,1,465499265,27060,1674316031,1047380,2058512190,2978280387,5720,200000,100000,1072201728,1073741824,94212096,4096,118523922,94330347,20527583232,27851436032
1788547735.984639,2026-09-04T18:48:51Z,1,418973407,26164,1550184800,1047296,2065435586,2979006287,5733,200000,100000,1073086464,1073741824,76947456,4096,118523922,94330135,20742418432,28296417280
1788547741.143524,2026-09-04T18:48:51Z,1,418973407,26164,1550184800,1047296,2073994752,2979102958,5737,200000,100000,1072848896,1073741824,55832576,4096,118523922,94329877,20997120000,28683005952
1788547746.306348,2026-09-04T18:48:51Z,1,418973407,26164,1550184800,1047296,2083057342,2979506319,5748,200000,100000,1073029120,1073741824,29327360,4096,118523922,94329575,21265502208,29343113216
1788547751.546352,2026-09-04T18:49:06Z,1,429801814,26488,1574426551,1045884,2086559541,2979635487,5751,200000,100000,1069244416,1073741824,51978240,4096,118523922,94329469,21360381952,29665296384
1788547756.730630,2026-09-04T18:49:06Z,1,429801814,26488,1574426551,1045884,2086601911,2979635487,5751,200000,100000,1072349184,1073741824,54648832,4096,118523922,94329469,21360381952,29673160704
1788547761.907609,2026-09-04T18:49:21Z,1,61661717,26148,267482960,1047964,2087136816,2979635487,5751,200000,100000,1072222208,1073741824,19566592,4096,118523922,94329469,21429407744,29714071552
1788547767.102928,2026-09-04T18:49:21Z,1,61661717,26148,267482960,1047964,2087302478,2979635487,5751,200000,100000,1072726016,1073741824,47493120,4096,118523922,94329467,21429407744,29791551488
