ts,mts,api_pods,api_cpu_n,api_mem_ki,db_cpu_n,db_mem_ki,usage_usec,thr_usec,nr_thr,cpu_quota,cpu_period,mem_cur,mem_max,inact_file,bsize,blocks,bavail,rbytes,wbytes
1788528198.059734,2026-09-04T13:23:06Z,1,271058,27356,485398905,1048052,3863160930,4195466834,13737,200000,100000,1043537920,1073741824,392843264,4096,118523922,94379601,146519339008,138178174976
1788528203.197279,2026-09-04T13:23:21Z,1,369290,27356,771537319,1032104,3863227098,4195466834,13737,200000,100000,1062195200,1073741824,411320320,4096,118523922,94379601,146519339008,138196795392
1788528208.400488,2026-09-04T13:23:21Z,1,369290,27356,771537319,1032104,3863279212,4195466834,13737,200000,100000,1066835968,1073741824,415576064,4096,118523922,94379601,146519339008,138201513984
1788528213.572932,2026-09-04T13:23:21Z,1,369290,27356,771537319,1032104,3863327547,4195466834,13737,200000,100000,1070796800,1073741824,419217408,4096,118523922,94379601,146519343104,138205446144
1788528218.738347,2026-09-04T13:23:36Z,1,422709,27356,8777888,1045104,3865034251,4197292038,13745,200000,100000,1073209344,1073741824,419098624,4096,118523922,94379546,146633789440,138326540288
1788528223.938757,2026-09-04T13:23:36Z,1,422709,27356,8777888,1045104,3872778610,4200177829,13775,200000,100000,1072734208,1073741824,374018048,4096,118523922,94379337,148016185344,139744104448
1788528229.122745,2026-09-04T13:23:36Z,1,422709,27356,8777888,1045104,3880682860,4201594910,13801,200000,100000,1073086464,1073741824,176902144,4096,118523922,94379112,149403484160,141026852864
1788528234.317870,2026-09-04T13:23:51Z,1,249722922,20464,1396601972,1047472,3886763575,4202120408,13809,200000,100000,1073102848,1073741824,155840512,4096,118523922,94378985,150258417664,142193737728
1788528239.475856,2026-09-04T13:23:51Z,1,249722922,20464,1396601972,1047472,3893986346,4204869669,13830,200000,100000,1072758784,1073741824,132411392,4096,118523922,94378760,151421702144,143686979584
1788528244.643616,2026-09-04T13:23:51Z,1,249722922,20464,1396601972,1047472,3901346063,4206199079,13846,200000,100000,1073176576,1073741824,100491264,4096,118523922,94378528,152553041920,145195024384
1788528249.794896,2026-09-04T13:24:06Z,1,248816393,20632,1331109843,1047044,3908698658,4208935074,13873,200000,100000,1073184768,1073741824,313794560,4096,118523922,94378298,153766227968,146624540672
1788528254.952893,2026-09-04T13:24:06Z,1,248816393,20632,1331109843,1047044,3915990633,4212463207,13894,200000,100000,1073111040,1073741824,225873920,4096,118523922,94378058,155048034304,148313665536
1788528260.098949,2026-09-04T13:24:06Z,1,248816393,20632,1331109843,1047044,3923630859,4213621155,13909,200000,100000,1073127424,1073741824,139694080,4096,118523922,94377830,156149841920,149727162368
1788528265.448424,2026-09-04T13:24:21Z,1,233617179,20304,1296696570,1047256,3926640388,4213814701,13915,200000,100000,1073045504,1073741824,170258432,4096,118523922,94377738,156587180032,150491664384
1788528270.582521,2026-09-04T13:24:21Z,1,233617179,20304,1296696570,1047256,3930859862,4214720558,13924,200000,100000,1073045504,1073741824,139493376,4096,118523922,94377596,157170810880,151206420480
1788528275.861337,2026-09-04T13:24:21Z,1,233617179,20304,1296696570,1047256,3934123556,4215211571,13931,200000,100000,1072222208,1073741824,123072512,4096,118523922,94377490,157636349952,151959724032
1788528280.989508,2026-09-04T13:24:36Z,1,125857019,20304,699106245,1047360,3936071414,4215222313,13932,200000,100000,1072238592,1073741824,138145792,4096,118523922,94377435,157856722944,152310878208
1788528286.288418,2026-09-04T13:24:36Z,1,125857019,20304,699106245,1047360,3940451764,4215701529,13943,200000,100000,1073057792,1073741824,127070208,4096,118523922,94377316,158664810496,153379762176
1788528291.441091,2026-09-04T13:24:36Z,1,125857019,20304,699106245,1047360,3943162432,4215878136,13945,200000,100000,1073094656,1073741824,117338112,4096,118523922,94377237,158971883520,153805672448
1788528296.696750,2026-09-04T13:24:51Z,1,102249184,20360,595917515,1047916,3945674842,4215922769,13946,200000,100000,1073184768,1073741824,117891072,4096,118523922,94377150,159291604992,154373390336
1788528301.876713,2026-09-04T13:24:51Z,1,102249184,20360,595917515,1047916,3949173025,4216066280,13948,200000,100000,1073074176,1073741824,98766848,4096,118523922,94377054,159694716928,154977632256
1788528307.108540,2026-09-04T13:25:06Z,1,105278928,20744,577325450,1047948,3952885511,4216773976,13958,200000,100000,1072971776,1073741824,91381760,4096,118523922,94376996,160185905152,155686514688
1788528312.499889,2026-09-04T13:25:06Z,1,105278928,20744,577325450,1047948,3955640515,4216813655,13959,200000,100000,1072939008,1073741824,94920704,4096,118523922,94376915,160579379200,156371595264
1788528317.647463,2026-09-04T13:25:06Z,1,105278928,20744,577325450,1047948,3958984916,4217309269,13964,200000,100000,1072893952,1073741824,63311872,4096,118523922,94376833,161230180352,157033766912
1788528322.794474,2026-09-04T13:25:21Z,1,110125274,19992,668529223,1047804,3962331047,4217359111,13966,200000,100000,1072431104,1073741824,77467648,4096,118523922,94376722,161671995392,157817741312
1788528328.254551,2026-09-04T13:25:21Z,1,110125274,19992,668529223,1047804,3965814406,4218247221,13973,200000,100000,1072492544,1073741824,67870720,4096,118523922,94376616,162103390208,158439284736
